iter	RMSE
0	41.04925161
1	39.83696044
2	38.57566671
3	37.30684646
4	36.02808092
5	35.15840731
6	34.0624244
7	32.91383444
8	31.8817405
9	30.84852749
10	29.9334695
11	29.02006919
12	28.15420538
13	27.23738555
14	26.36519575
15	25.5709426
16	24.79183361
17	24.09405382
18	23.33137007
19	22.62335508
20	21.97317351
21	21.25230611
22	20.61383187
23	20.02914278
24	19.44357296
25	18.85124967
26	18.2392694
27	17.76242005
28	17.21315018
29	16.68028434
30	16.1500551
31	15.66377374
32	15.21368808
33	14.75357777
34	14.33683881
35	13.91671645
36	13.49499088
37	13.11893734
38	12.76251264
39	12.35253673
40	11.97422478
41	11.65146418
42	11.33615171
43	11.00826248
44	10.72188057
45	10.46549972
46	10.16176187
47	9.902138444
48	9.606923723
49	9.314624397
50	9.025265843
51	8.776794497
52	8.535015145
53	8.341464104
54	8.132050998
55	7.916454673
56	7.693988634
57	7.476906769
58	7.286388817
59	7.065890089
60	6.866540666
61	6.690034677
62	6.487736101
63	6.316780232
64	6.171281516
65	6.008008008
66	5.866335505
67	5.717599304
68	5.577497955
69	5.440355112
70	5.333334222
71	5.193129829
72	5.062276931
73	4.938781064
74	4.805209192
75	4.678312717
76	4.557893877
77	4.437461951
78	4.323129845
79	4.240637128
80	4.135911265
81	4.046104091
82	3.945427899
83	3.851062358
84	3.761349595
85	3.674727146
86	3.584250045
87	3.505302135
88	3.431328985
89	3.356076937
90	3.287182883
91	3.22751386
92	3.153582008
93	3.087236382
94	3.027256082
95	2.965053599
96	2.907217732
97	2.848302025
98	2.791363071
99	2.736576833
100	2.683185016
101	2.632963626
102	2.587975868
103	2.548504484
104	2.505960968
105	2.461935237
106	2.425297024
107	2.38346946
108	2.341717734
109	2.304533116
110	2.268984296
111	2.231566875
112	2.203578748
113	2.168724564
114	2.140987407
115	2.113556769
116	2.086686274
117	2.067285799
118	2.038290064
119	2.009244709
120	1.982279705
121	1.97656941
122	1.954870072
123	1.934083101
124	1.910872256
125	1.887251911
126	1.865266684
127	1.852385146
128	1.831342852
129	1.808193678
130	1.788342098
131	1.777676151
132	1.758663782
133	1.741684498
134	1.721408539
135	1.700934196
136	1.69342585
137	1.679579518
138	1.66250807
139	1.646631814
140	1.642168635
141	1.636107152
142	1.62010026
143	1.602825059
144	1.587708256
145	1.581719766
146	1.56701171
147	1.5525745
148	1.539190172
149	1.524739602
150	1.516848765
151	1.502626015
152	1.490562129
153	1.483350373
154	1.472796579
155	1.468060643
156	1.464291597
157	1.461141945
158	1.450358688
159	1.442420915
160	1.431194129
161	1.420556791
162	1.417745871
163	1.406247752
164	1.401669682
165	1.393503695
166	1.385963989
167	1.383158216
168	1.368989189
169	1.366000403
170	1.356092554
171	1.35151681
172	1.341872298
173	1.338368384
174	1.328073819
175	1.320585406
176	1.316070827
177	1.309613963
178	1.304074144
179	1.300836959
180	1.298430095
181	1.295282968
182	1.289287111
183	1.285703335
184	1.283022492
185	1.274768791
186	1.272304725
187	1.268730252
188	1.265586982
189	1.26279213
190	1.261268824
191	1.258294975
192	1.256335709
193	1.253108733
194	1.248330882
195	1.246197381
196	1.242975763
197	1.241075564
198	1.236967213
199	1.234131529
200	1.227016197
201	1.221587559
202	1.219367932
203	1.217643411
204	1.215440554
205	1.212895989
206	1.210101824
207	1.207539192
208	1.205848107
209	1.201926181
210	1.200432707
211	1.198171959
212	1.196271227
213	1.191217524
214	1.189252491
215	1.187675517
216	1.186537136
217	1.180724853
218	1.179106457
219	1.169143867
220	1.167558353
221	1.163902076
222	1.159406233
223	1.157499653
224	1.156044414
225	1.154394876
226	1.152786659
227	1.151095362
228	1.144242337
229	1.142456993
230	1.140943248
231	1.139680039
232	1.133863421
233	1.132617724
234	1.126214357
235	1.124812958
236	1.122313561
237	1.121175474
238	1.115804529
239	1.114536755
240	1.110728508
241	1.10965798
242	1.103785007
243	1.098698067
244	1.095269379
245	1.094382339
246	1.093512068
247	1.092467505
248	1.089201046
249	1.088266588
250	1.08745605
251	1.083993292
252	1.083208667
253	1.074873711
254	1.074107896
255	1.072400772
256	1.065625718
257	1.064890875
258	1.062032647
259	1.058692916
260	1.051748702
261	1.050968736
262	1.050285396
263	1.043951326
264	1.039385905
265	1.038728802
266	1.033713632
267	1.029993013
268	1.027162057
269	1.024453214
270	1.022308546
271	1.019113579
272	1.018292102
273	1.015807518
274	1.012806052
275	1.012230147
276	1.007859852
277	1.005224799
278	1.004670531
279	0.9978317447
280	0.997291056
281	0.9966023141
282	0.9960816078
283	0.9955177062
284	0.9908035413
285	0.9869493822
286	0.9811063277
287	0.9749931946
288	0.974455479
289	0.973929396
290	0.9732490574
291	0.9727434185
292	0.9676539084
293	0.9672032226
294	0.9634430555
295	0.9629646159
296	0.9599691218
297	0.9595047236
298	0.958849124
299	0.9552379435
300	0.9501403531
301	0.9470138068
302	0.9423732011
303	0.9377056335
304	0.9372745688
305	0.9367617921
306	0.9321344758
307	0.9287752541
308	0.9283678177
309	0.9277000994
310	0.9237288294
311	0.9213113823
312	0.9207190598
313	0.9173731986
314	0.9167755003
315	0.9155693592
316	0.9123824361
317	0.9104036631
318	0.9076178296
319	0.9072657617
320	0.9042425778
321	0.9039126466
322	0.8997147601
323	0.8993803653
324	0.8966745823
325	0.8928239733
326	0.8899282773
327	0.8870819736
328	0.8837436727
329	0.8806105199
330	0.8782219211
331	0.875218646
332	0.8747692075
333	0.8744312444
334	0.8719298848
335	0.8716012466
336	0.8692188855
337	0.8665194634
338	0.8632864624
339	0.8607554713
340	0.8577112562
341	0.8553286272
342	0.8538340648
343	0.8514136475
344	0.8489151752
345	0.846361452
346	0.8448444688
347	0.8424477776
348	0.8401118294
349	0.8397331536
350	0.8367740213
351	0.8364915448
352	0.8337390931
353	0.8334611131
354	0.832074014
355	0.8318062143
356	0.8295719256
357	0.8277216982
358	0.825664741
359	0.8226228133
360	0.8198735412
361	0.8179164841
362	0.81537233
363	0.8133500541
364	0.8112397932
365	0.8093162128
366	0.8077228504
367	0.805449757
368	0.8030131332
369	0.8011598427
370	0.799608218
371	0.7977187605
372	0.7974770207
373	0.7949258731
374	0.792518863
375	0.7905554706
376	0.7885900139
377	0.7858807014
378	0.78355651
379	0.7816906648
380	0.7796122148
381	0.7778874389
382	0.7758699204
383	0.7741129771
384	0.7723574738
385	0.7698985578
386	0.7683454899
387	0.7661695793
388	0.7640688883
389	0.7624003475
390	0.7601876189
391	0.7589833856
392	0.7571894077
393	0.7558084147
394	0.7538986478
395	0.7517359905
396	0.7493857814
397	0.7477617754
398	0.7455699562
399	0.743560139
400	0.7418485515
401	0.7404370987
402	0.7388510612
403	0.7374721394
404	0.7362614858
405	0.7359965096
406	0.7337319486
407	0.7322704249
408	0.7302635692
409	0.7300077199
410	0.7287766267
411	0.7285278591
412	0.7263836707
413	0.7247674867
414	0.722318547
415	0.7221292302
416	0.7209485373
417	0.7191801546
418	0.7173123834
419	0.7151195863
420	0.7135469064
421	0.7121072269
422	0.7111492864
423	0.7109654612
424	0.7099047361
425	0.7081502592
426	0.7064397205
427	0.705040839
428	0.7040673814
429	0.7017337647
430	0.6999763244
431	0.698514605
432	0.6974306624
433	0.695342698
434	0.6940954747
435	0.6932215686
436	0.6922519308
437	0.6920325503
438	0.6898034055
439	0.6876356026
440	0.6858948479
441	0.6842769847
442	0.6828410848
443	0.6816999967
444	0.6805224531
445	0.6788866217
446	0.6781413036
447	0.6779776999
448	0.6774752263
449	0.6759609923
450	0.6747483089
451	0.6745431094
452	0.6743427997
453	0.6741472566
454	0.6730313581
455	0.6720475254
456	0.6718572517
457	0.6700023131
458	0.6683567569
459	0.6664514733
460	0.6662341161
461	0.6643242972
462	0.6623534078
463	0.6621716612
464	0.6606326148
465	0.6592360632
466	0.65902877
467	0.6573026106
468	0.6555936795
469	0.6554550255
470	0.6540442419
471	0.6525753065
472	0.6512173671
473	0.6510474491
474	0.6497668982
475	0.6484921156
476	0.6468501613
477	0.6451516322
478	0.6449847538
479	0.6448212293
480	0.6435647257
481	0.6419773029
482	0.6399282567
483	0.6388160233
484	0.6373682804
485	0.6359686828
486	0.6357808294
487	0.6340905931
488	0.6328373031
489	0.6326802772
490	0.6325007714
491	0.6316646608
492	0.6302923383
493	0.630118333
494	0.6285601934
495	0.6278025197
496	0.626673615
497	0.6255600134
498	0.6242122142
499	0.6236631721
500	0.6220180025
501	0.6206291071
502	0.6204883565
503	0.6185551014
504	0.6184176288
505	0.6182833726
506	0.6168418017
507	0.6154100333
508	0.6152781054
509	0.6148890709
510	0.6132421032
511	0.6131130507
512	0.6119570984
513	0.610405739
514	0.6094332456
515	0.6085243867
516	0.6083489285
517	0.6069955978
518	0.6057793279
519	0.6056576433
520	0.6048746395
521	0.6037450807
522	0.6023956904
523	0.6015661389
524	0.6014471884
525	0.5999386282
526	0.5987538346
527	0.5969228881
528	0.5954549721
529	0.5939411335
530	0.5930209643
531	0.5922821048
532	0.5905854328
533	0.5904694273
534	0.5889276827
535	0.5888156441
536	0.5887062509
537	0.5877759359
538	0.5870367014
539	0.5866920402
540	0.58560008
541	0.5842932919
542	0.5830099998
543	0.5826209083
544	0.5818015584
545	0.5808757069
546	0.5802337411
547	0.5796924528
548	0.5795875974
549	0.5780654262
550	0.5770034878
551	0.5755635517
552	0.5750958742
553	0.5745821595
554	0.5735475654
555	0.5734398706
556	0.5720793693
557	0.5709318705
558	0.5708293923
559	0.5700014647
560	0.5689353668
561	0.5685358683
562	0.567911519
563	0.566899819
564	0.5654579618
565	0.5653582554
566	0.564178315
567	0.5629340826
568	0.5613153585
569	0.5612172267
570	0.560447348
571	0.5603516203
572	0.5595646321
573	0.5586097785
574	0.5583060211
575	0.5567255654
576	0.5566325237
577	0.5553679092
578	0.5542818537
579	0.5531426767
580	0.5519769561
581	0.5518660105
582	0.5504832588
583	0.5499283065
584	0.5485042682
585	0.5478506124
586	0.5477606078
587	0.5476540347
588	0.5472161904
589	0.5458932166
590	0.5455161334
591	0.544528441
592	0.5437809876
593	0.5436947159
594	0.5425361334
595	0.5421229136
596	0.542038562
597	0.5411714598
598	0.5408076247
599	0.5402490874
600	0.5397281414
601	0.5394207893
602	0.5385479255
603	0.5378975518
604	0.53711987
605	0.5356342313
606	0.5350989731
607	0.5343175431
608	0.5330285324
609	0.5329464721
610	0.5323636713
611	0.5316684839
612	0.5308092374
613	0.5294916789
614	0.5282259315
615	0.5277163671
616	0.5269911858
617	0.5261660203
618	0.5259404299
619	0.5252420699
620	0.5250039296
621	0.5247352945
622	0.5237421802
623	0.5228377769
624	0.5216668993
625	0.520909146
626	0.5208238311
627	0.5198157981
628	0.5189698047
629	0.5177598025
630	0.5164697699
631	0.5159514167
632	0.5156123672
633	0.5148456694
634	0.5143299164
635	0.5135675874
636	0.5129640169
637	0.5121201318
638	0.511877232
639	0.5115765862
640	0.5106772221
641	0.509992806
642	0.5097750391
643	0.5096822737
644	0.5096051799
645	0.508752442
646	0.5070902618
647	0.5066123926
648	0.505436707
649	0.5049666883
650	0.5042159457
651	0.5034924963
652	0.5027173565
653	0.5013046049
654	0.5006387218
655	0.5000813584
656	0.4992888657
