iter	Passed	Remaining
0	1	142
1	2	118
2	3	115
3	4	112
4	5	110
5	6	99
6	7	98
7	8	97
8	9	97
9	10	95
10	11	95
11	12	94
12	14	93
13	15	93
14	16	92
15	17	91
16	18	90
17	19	88
18	20	87
19	21	86
20	22	85
21	23	84
22	24	83
23	25	82
24	26	80
25	28	80
26	29	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	36	71
34	37	70
35	38	68
36	39	68
37	41	66
38	42	66
39	43	65
40	44	64
41	45	63
42	46	62
43	47	60
44	49	59
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	66	42
61	67	41
62	68	40
63	69	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	86	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
